stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.832659,1,1583,-79.110984,,,,,Strouds Lane Eastbound @ Fairport,0,1583:1,
43.860433,1,2240,-79.028621,,,,,Eastbound @ 113 Kingston,0,2240:1,
43.901366,1,93552,-78.832565,,,,,Harmony Northbound @ Capri,0,93552:1,
43.826274,1,1518,-79.14505,,,,,Pine Grove Southbound @ Sandhurst,0,1518:1,
43.895107,1,1257,-78.831268,,,,,Olive Westbound @ Elmridge,0,1257:1,
43.8301782,1,1581,-79.1178386,,,,,Strouds Lane Eastbound @ Shadybrook,0,1581:1,
43.861546,1,2285,-79.040329,,,,,Westney Northbound @ Ravenscroft,0,2285:1,
43.821244,1,2015,-79.022832,,,,,Finley Southbound @ Burden,0,2015:1,
43.787494,1,3589,-79.190831,,,,,Centennial Circle,0,3589:1,
43.862229,1,42,-78.935434,,,,,Victoria Westbound @ Brock Street,0,42:1,
43.87030193,1,2287,-79.040561,,,,,Westney Northbound @ Ivers,0,2287:1,
43.887956,2,2246,-79.048166,,,,,Westney Southbound @ Atherton,0,2246:1,
43.911329,1,1498,-78.675014,,,,,Simpson Northbound @ King,0,1498:1,
43.936993,2,826,-78.861025,,,,,Taunton Westbound @ Wilson (West side stop),0,826:1,
43.846033,1,2308,-79.009096,,,,,Bayly Eastbound @ Porte,0,2308:1,
43.881817,2,2248,-79.045538,,,,,Southbound @ 1328 Westney,0,2248:1,
43.827539,2,3323,-79.086882,,,,,Liverpool Southbound @ Tatra,0,3323:1,
43.821475,1,93234,-79.080852,,,,,Krosno Eastbound @ Annland,0,93234:1,
43.8643554,1,1590,-79.0125542,,,,,Kingston Westbound @ Wicks,0,1590:1,
43.841898,1,3329,-79.020169,,,,,Southbound @ 40 Kitney,0,3329:1,
43.820175,2,3077,-79.030201,,,,,Parkes Northbound @ Varley,0,3077:1,
43.908595,1,604,-78.901271,,,,,Rossland Westbound @ Thornton,0,604:1,
43.92776,1,93368,-78.844146,,,,,Harmony Northbound @ Storie,0,93368:1,
43.942102,1,812,-78.848752,,,,,Harmony Terminal,0,812:1,
43.94900213,1,90045,-78.864314,,,,,Wilson Northbound @ Greenhill,0,90045:1,
43.894441,1,1258,-78.834343,,,,,Olive Westbound @ Poplar,0,1258:1,
43.83484,1,2093,-79.003515,,,,,Northbound @ 727 Pickering Beach,0,2093:1,
43.940279,1,810,-78.849628,,,,,Harmony Northbound @ Taunton (North Side Stop),0,810:1,
43.910599,1,602,-78.891821,,,,,Rossland Westbound @ Stevenson,0,602:1,
43.824917,1,2003,-79.085611,,,,,Liverpool Northbound @ Patmore,0,2003:1,
43.847531,1,1943,-79.068619,,,,,Bainbridge Eastbound @ Burnside,0,1943:1,
43.842627,2,93313,-79.107737,,,,,Finch Eastbound @ Lynn Heights,0,93313:1,
