block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,direction_name
a_3718_Timetable_-_2022-03,905,1,0,A - Harmony Terminal,100.0.1433264883_Timetable_-_2022-03,Sunday Minus,7384__3718_Timetable_-_2022-03,Northbound
a_14020_Timetable_-_2022-03,407,1,0,Harmony Terminal,100.0.1046829536_Timetable_-_2022-03,Saturday Plus,5952__14020_Timetable_-_2022-03,Northbound
a_64016_Timetable_-_2022-03,902,1,0,B - Trulls Road,100.0.11522185212_Timetable_-_2022-03,Sunday Plus,9883__64016_Timetable_-_2022-03,Eastbound
a_3615_Timetable_-_2022-03,905,1,0,A - Harmony Terminal,100.0.1433264883_Timetable_-_2022-03,Sunday Plus,7287__3615_Timetable_-_2022-03,Northbound
a_62008_Timetable_-_2022-03,916,1,0,C - Harmony Terminal via Terrace Drive,100.0.1046830329164_Timetable_-_2022-03,Sunday Plus,9215__62008_Timetable_-_2022-03,Eastbound
a_64003_Timetable_-_2022-03,405,1,1,C - Oshawa Centre Terminal via Delpark Homes Centre,100.0.1046829424_Timetable_-_2022-03,Sunday Plus,8045__64003_Timetable_-_2022-03,Southbound
a_72913_Timetable_-_2022-03,915,1,1,Ajax Station,100.0.1046830191_Timetable_-_2022-03,Sunday Minus,9922__72913_Timetable_-_2022-03,Westbound
a_62003_Timetable_-_2022-03,916,1,1,Pickering Parkway Terminal,100.0.1046830329161_Timetable_-_2022-03,Sunday Plus,9226__62003_Timetable_-_2022-03,Westbound
b_3720_Timetable_--_2022-04,302,1,0,Brooklin,100.0.1433262811_Timetable_--_2022-04,Sunday,6649__3720_Timetable_--_2022-04,Northbound
a_3604_Timetable_-_2022-03,905,1,1,Whitby Station,100.0.1433264882_Timetable_-_2022-03,Sunday Plus,7297__3604_Timetable_-_2022-03,Southbound
b_12911_Timetable_--_2022-04,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_--_2022-04,Weekday,6116__12911_Timetable_--_2022-04,Eastbound
b_74901_Timetable_--_2022-04,900,1,1,Scarborough,100.0.995817752_Timetable_--_2022-04,Sunday,8226__74901_Timetable_--_2022-04,Westbound
b_62005_Timetable_--_2022-04,224,1,1,Ajax Station,100.0.1046832382_Timetable_--_2022-04,Saturday,7174__62005_Timetable_--_2022-04,Westbound
a_64005_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Sunday Plus,8321__64005_Timetable_-_2022-03,Southbound
a_64005_Timetable_-_2022-03,407,1,1,A - Farewell & Raleigh via Colonel Sam Drive,100.0.1046829532_Timetable_-_2022-03,Sunday Plus,8199__64005_Timetable_-_2022-03,Southbound
b_3621_Timetable_--_2022-04,302,1,0,Brooklin,100.0.1433262811_Timetable_--_2022-04,Saturday,6577__3621_Timetable_--_2022-04,Northbound
b_12020_Timetable_--_2022-04,224,1,1,Ajax Station,100.0.1046832382_Timetable_--_2022-04,Weekday,5464__12020_Timetable_--_2022-04,Westbound
b_74901_Timetable_--_2022-04,900,1,0,Oshawa,100.0.995817755_Timetable_--_2022-04,Sunday,8215__74901_Timetable_--_2022-04,Eastbound
b_14907_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,100.0.11903131612_Timetable_--_2022-04,Weekday,5824__14907_Timetable_--_2022-04,Northbound
a_3115_Timetable_-_2022-03,392,1,0,B - Whitby Station,100.0.1433266344_Timetable_-_2022-03,Saturday Plus,7174__3115_Timetable_-_2022-03,Eastbound
a_12028_Timetable_-_2022-03,917,1,0,Oshawa Centre Terminal,100.0.1046831486_Timetable_-_2022-03,Saturday Plus,6682__12028_Timetable_-_2022-03,Eastbound
b_74912_Timetable_--_2022-04,N2,1,0,Ontario Tech/Durham College North Campus,100.0.1306863952_Timetable_--_2022-04,Sunday,9458__74912_Timetable_--_2022-04,Northbound
b_12902_Timetable_--_2022-04,900,1,1,B - Pickering Town Centre,100.0.11522189610_Timetable_--_2022-04,Weekday,9066__12902_Timetable_--_2022-04,Westbound
